Rank,Median Household Income ▼,Zip / Population
1,"$236,912","94027 / 7,230"
2,"$228,587","92145 / 1,968"
3,"$200,325",91980 / 631
4,"$187,857","94957 / 1,063"
5,"$182,750","94022 / 19,737"
6,"$180,174","94028 / 6,720"
7,"$176,241","94506 / 21,896"
8,"$172,443","90077 / 8,328"
9,"$170,656","94105 / 6,282"
10,"$167,546","94024 / 22,573"
11,"$167,386","95070 / 31,093"
12,"$166,750",95140 / 233
13,"$166,147","94563 / 18,284"
14,"$163,486","92657 / 9,751"
15,"$163,219","94507 / 15,973"
16,"$162,328",94528 / 915
17,"$157,938","90272 / 23,497"
18,"$157,879",91210 / 614
19,"$156,250","90274 / 25,482"
20,"$154,107","95030 / 13,429"
21,"$153,269",94074 / 320
22,"$152,721","95120 / 37,673"
23,"$152,210","91011 / 20,671"
24,"$150,864","92861 / 5,911"
25,"$149,821",95007 / 727
26,"$149,538","92679 / 32,822"
27,"$147,568","94037 / 2,880"
28,"$145,610","94708 / 11,143"
29,"$145,505","95138 / 19,136"
30,"$144,886","94129 / 3,334"
31,"$144,152","94539 / 51,459"
32,"$142,071","90266 / 35,534"
33,"$138,750","90210 / 21,478"
34,"$138,371","94582 / 39,721"
35,"$137,344","94549 / 28,298"
36,"$137,122","92694 / 24,568"
37,"$136,331","94707 / 12,402"
38,"$135,076",96136 / 135
39,"$134,907","94301 / 16,927"
40,"$133,333","95053 / 2,730"
41,"$133,088","94556 / 15,505"
42,"$132,826","94552 / 15,209"
43,"$132,486","94920 / 12,583"
44,"$132,462","94065 / 11,585"
45,"$131,607","90402 / 11,503"
46,"$131,166","92130 / 50,280"
47,"$131,108","94127 / 19,356"
48,"$130,961","95014 / 62,478"
49,"$128,802","94526 / 32,274"
50,"$128,654","95135 / 21,349"
51,"$128,060","91436 / 14,563"
52,"$127,684","94588 / 31,910"
53,"$126,984","92887 / 20,071"
54,"$126,557","94062 / 27,014"
55,"$126,397","95033 / 9,628"
56,"$125,735","92625 / 12,572"
57,"$125,629","92673 / 29,875"
58,"$125,335","94070 / 29,879"
59,"$125,272","93108 / 12,119"
60,"$124,814","90265 / 17,660"
61,"$124,712","92823 / 2,960"
62,"$124,375","95663 / 2,485"
63,"$123,575","94618 / 17,007"
64,"$123,459","92127 / 41,900"
65,"$122,970","94114 / 32,229"
66,"$122,354","94087 / 55,229"
67,"$121,948","94583 / 35,272"
68,"$121,715","91302 / 25,165"
69,"$121,367","94517 / 12,781"
70,"$121,337","94598 / 26,974"
71,"$121,209","94941 / 30,605"
72,"$121,200","94123 / 25,528"
73,"$120,984","92610 / 11,799"
74,"$120,893","95032 / 25,898"
75,"$120,742","90275 / 42,420"
76,"$120,686","92603 / 20,173"
77,"$120,672","93730 / 10,137"
78,"$120,610","94107 / 27,792"
79,"$120,401","94566 / 42,523"
80,"$120,208",95041 / 146
81,"$120,152","91108 / 13,613"
82,"$119,939","92067 / 9,020"
83,"$119,924","92131 / 33,868"
84,"$119,095","94025 / 40,945"
85,"$118,919","95746 / 23,715"
